feature,label,observed_days,mean_spearman_ic,ic_hac_se,ic_p_value,ic_95_ci_half_width,q5_minus_q1_next_return,spread_hac_se,spread_p_value,spread_95_ci_half_width,ic_p_value_fdr,significant_at_5pct_fdr
intraday_range,장중 변동성,725,-0.062067436991136836,0.005015840699711049,4.8486926870470196e-32,0.009847329158449837,-0.0013420885389599617,0.000334350574343477,6.591386922321327e-05,0.0006564124255514417,3.8789541496376157e-31,True
ma_5_ratio,5일 이동평균 괴리율,721,-0.041880665708676316,0.004659607509802,2.1880490992055387e-18,0.00914804087648844,-0.0015475790880085242,0.0003180926232924895,1.4054946878778374e-06,0.0006244998777832222,8.752196396822155e-18,True
return_1d,전일 종가 변화율,724,-0.03983568616367329,0.004494756555112108,6.016437244555824e-18,0.00882433323646195,-0.0016716099154270628,0.00031402854501952506,1.3625947592798204e-07,0.0006165167107575341,1.6043832652148864e-17,True
ma_20_ratio,20일 이동평균 괴리율,706,-0.035531723086893154,0.005236224817437142,2.449649870449131e-11,0.010280461327907404,-0.001397158277997773,0.00036695064650550137,0.0001526098168143817,0.0007204468987060854,4.899299740898262e-11,True
rsi_14,RSI(14),711,-0.02612282630326756,0.0042874499091096405,1.8179919568568848e-09,0.008417596787574958,-0.0009036241124104203,0.0002942752463542066,0.0022172301243232155,0.0005777537745947468,2.908787130971016e-09,True
macd_ratio,종가 대비 MACD,724,-0.018839154803249505,0.005376862728500343,0.00048700768480845644,0.01055612865818839,-0.0007329201031825162,0.0003607516658537243,0.04255459414863734,0.0007082459029914322,0.0006493435797446086,True
volume_change_1d,거래량 변화율,724,0.005192234534287804,0.002090669493250337,0.013234400436855559,0.004104508012733931,0.00036725355309842947,0.00016227816613666917,0.0239245870837376,0.0003185926973871862,0.015125029070692067,True
volume_ratio_20,20일 평균 대비 거래량,706,0.0025308711336604066,0.002690694891978085,0.3472313789264291,0.005282734364281477,0.00029721563219514533,0.00020438120902544794,0.14632982889259782,0.0004012686981162646,0.3472313789264291,False
